ELISA RUN,band_number,Avg OD,CV %,S/P,Rerun?,MG+/- (OD > 0.061),MG +/- SP,
8.16.22,2175,0.052,3.1,0.0069, ,-,-,
7.25.22,2578,0.045,1.4,-0.0059, ,-,-,
7.25.22,2581,0.045,8.7,-0.0064, ,-,-,
7.25.22,2584,0.050,7.5,-0.0004, ,-,-,
7.25.22,2587,0.050,5.9,0.0002, ,-,-,
9.9.22,2589,0.0442,1.5997891,-0.0064325, ,-,-,
7.25.22,2591,0.044,4.6,-0.0069, ,-,-,
7.25.22,2595,0.050,5.2,-0.0001, ,-,-,
7.25.22,2601,0.047,1.5,-0.0042, ,-,-,
7.25.22,2604,0.043,0.3,-0.0090, ,-,-,
7.25.22,2614,0.044,1.6,-0.0076, ,-,-,
7.25.22,2615,0.045,4.5,-0.0056, ,-,-,
7.25.22,2616,0.043,0.3,-0.0081, ,-,-,
7.25.22,2618,0.044,5.4,-0.0068, ,-,-,
7.25.22,2619,0.052,3.4,0.0017, ,-,-,
7.25.22,2620,0.047,4.0,-0.0043, ,-,-,
9.5.22,2623,0.0437,0.64723733,-0.0154975, ,-,-,
7.25.22,2625,0.043,0.3,-0.0084, ,-,-,
7.25.22,2627,0.045,0.8,-0.0066, ,-,-,
7.25.22,2628,0.045,5.9,-0.0059, ,-,-,
7.25.22,2630,0.043,1.7,-0.0088, ,-,-,
7.25.22,2631,0.045,2.5,-0.0056, ,-,-,
9.5.22,2632,0.04365,2.42992021,-0.0155566, ,-,-,
7.25.22,2633,0.047,9.1,-0.0043, ,-,-,
7.25.22,2634,0.047,3.6,-0.0038, ,-,-,
7.25.22,2636,0.046,3.697,-0.005, ,-,-,
7.25.22,2637,0.046,5.498,-0.005, ,-,-,
7.25.22,2638,0.049,2.167,-0.001, ,-,-,
7.25.22,2640,0.044,5.899,-0.007, ,-,-,
7.25.22,2641,0.047,7.999,-0.004, ,-,-,
9.5.22,2643,0.04435,1.11606482,-0.0147285, ,-,-,
9.9.22,2645,0.04335,0.16311575,-0.0073671, ,-,-,
8.15.22,2647,0.049,7.4,0.0053, ,-,-,
8.15.22,2648,0.053,3.1,0.0100, ,-,-,
8.15.22,2650,0.050,5.2,0.0061, ,-,-,
8.15.22,2651,0.045,0.6,0.0001, ,-,-,
8.15.22,2652,0.047,7.1,0.0021, ,-,-,
8.15.22,2654,0.047,2.3,0.0022, ,-,-,
9.5.22,2655,0.04515,0.1566128,-0.0137821, ,-,-,
8.15.22,2657,0.056,8.8,0.0134, ,-,-,
8.15.22,2660,0.046,6.2,0.0005, ,-,-,
8.15.22,2662,0.046,8.8,0.0014, ,-,-,
9.5.22,2663,0.0448,0,-0.0141961, ,-,-,
8.15.22,2664,0.044,1.6,-0.0021, ,-,-,
8.15.22,2665,0.043,1.0,-0.0029, ,-,-,
8.15.22,2667,0.062,0.9,0.0210, ,+,-,
8.15.22,2668,0.045,0.3,-0.0006, ,-,-,
8.15.22,2670,0.048,8.1,0.0038, ,-,-,
8.15.22,2671,0.047,4.0,0.0026, ,-,-,
8.15.22,2672,0.044,5.8,-0.0015, ,-,-,
8.15.22,2675,0.045,0.5,-0.0003, ,-,-,
8.15.22,2676,0.043,3.3,-0.0028, ,-,-,
8.15.22,2678,0.043,1.8,-0.0036, ,-,-,
9.5.22,2681,0.04935,1.86269264,-0.0088134, ,-,-,
8.15.22,2682,0.044,1.3,-0.0016, ,-,-,
9.5.22,2684,0.04495,6.44969478,-0.0140187, ,-,-,
8.15.22,2687,0.046,8.7,0.0005, ,-,-,
9.5.22,2689,0.0446,5.39050013,-0.0144327, ,-,-,
8.15.22,2690,0.047,1.8,0.0027, ,-,-,
8.15.22,2691,0.044,1.6,-0.0015, ,-,-,
8.15.22,2692,0.047,2.1,0.0023, ,-,-,
9.5.22,2693,0.043,1.64443437,-0.0163256, ,-,-,
9.5.22,2694,0.0445,1.2712032,-0.014551, ,-,-,
9.5.22,2695,0.04915,3.59667742,-0.00905, ,-,-,
8.15.22,2697,0.043,1.6,-0.0032, ,-,-,
8.15.22,2698,0.051,9.9,0.0077, ,-,-,
9.5.22,2703,0.04505,0.15696044,-0.0139004, ,-,-,
9.9.22,2704,0.0454,2.18050549,-0.005113, ,-,-,
8.15.22,2705,0.058,3.532,0.017, ,-,-,
9.5.22,2706,0.0482,6.45491667,-0.0101739, ,-,-,
8.15.22,2708,0.045,1.109,-0.001, ,-,-,
9.5.22,2709,0.0449,0.62993923,-0.0140778, ,-,-,
8.15.22,2710,0.049,3.201,0.004, ,-,-,
8.15.22,2712,0.052,3.125,0.009, ,-,-,
8.15.22,2713,0.050,4.925,0.006, ,-,-,
8.16.22,2717,0.046,0.0,-0.0006, ,-,-,
9.9.22,2718,0.04485,2.36490562,-0.0057177, ,-,-,
8.16.22,2719,0.049,0.0,0.0026, ,-,-,
8.16.22,2720,0.049,8.2,0.0025, ,-,-,
8.16.22,2721,0.057,2.5,0.0135, ,-,-,
8.16.22,2722,0.046,1.5,-0.0009, ,-,-,
8.16.22,2723,0.048,6.3,0.0019, ,-,-,
8.16.22,2724,0.043,1.5,-0.0039, ,-,-,
8.16.22,2725,0.046,4.5,-0.0007, ,-,-,
8.16.22,2726,0.044,0.8,-0.0029, ,-,-,
8.16.22,2727,0.045,3.9,-0.0018, ,-,-,
8.16.22,2728,0.045,4.4,-0.0021, ,-,-,
8.16.22,2729,0.046,9.4,-0.0011, ,-,-,
8.16.22,2730,0.044,4.2,-0.0027, ,-,-,
8.16.22,2731,0.045,7.2,-0.0015, ,-,-,
8.16.22,2732,0.045,6.5,-0.0021, ,-,-,
8.16.22,2733,0.044,1.5,-0.0037, ,-,-,
9.5.22,2734,0.0442,8.31890331,-0.014906, ,-,-,
9.9.22,2735,0.04375,4.68710781,-0.0069273, ,-,-,
8.16.22,2736,0.044,2.7,-0.0032, ,-,-,
8.16.22,2739,0.042,0.2,-0.0056, ,-,-,
8.16.22,2740,0.042,0.3,-0.0054, ,-,-,
8.16.22,2741,0.042,3.4,-0.0060, ,-,-,
8.16.22,2742,0.045,9.2,-0.0016, ,-,-,
9.5.22,2743,0.04635,6.86511438,-0.0123625, ,-,-,
8.16.22,2744,0.044,1.3,-0.0035, ,-,-,
8.16.22,2745,0.046,1.2,-0.0011, ,-,-,
8.16.22,2746,0.043,1.0,-0.0049, ,-,-,
8.16.22,2747,0.045,0.8,-0.0021, ,-,-,
8.16.22,2748,0.049,6.9,0.0035, ,-,-,
8.16.22,2749,0.046,4.0,-0.0005, ,-,-,
9.5.22,2750,0.0761,4.08839663,0.02283213, ,+,-,
8.16.22,2751,0.045,2.5,-0.0020, ,-,-,
8.16.22,2752,0.044,1.924,-0.003, ,-,-,
8.16.22,2754,0.048,9.901,0.002, ,-,-,
8.16.22,2755,0.048,4.116,0.002, ,-,-,
8.16.22,2756,0.044,4.150,-0.003, ,-,-,
8.16.22,2757,0.047,1.361,0.000, ,-,-,
8.16.22,2758,0.044,3.036,-0.003, ,-,-,
9.5.22,2759,0.0442,7.03907203,-0.014906, ,-,-,
8.16.22,2760,0.046,3.713,-0.001, ,-,-,
8.16.22,2761,0.047,0.0,-0.0022, ,-,-,
8.16.22,2762,0.053,9.2,0.0054, ,-,-,
8.16.22,2763,0.047,7.3,-0.0021, ,-,-,
9.5.22,2764,0.04705,9.16759057,-0.0115344, ,-,-,
8.16.22,2765,0.054,8.7,0.0064, ,-,-,
8.16.22,2766,0.062,7.2,0.0171, ,+,-,
8.16.22,2767,0.042,2.2,-0.0056, ,-,-,
9.5.22,2767,0.0511,9.40964014,-0.0067432, ,-,-,
8.16.22,2768,0.056,4.1,0.0123, ,-,-,
8.16.22,2770,0.047,5.6,-0.0024, ,-,-,
8.16.22,2771,0.047,6.7,-0.0021, ,-,-,
8.16.22,2772,0.047,2.9,-0.0027, ,-,-,
8.16.22,2773,0.047,1.8,-0.0030, ,-,-,
9.5.22,2774,0.0482,9.97578032,-0.0101739, ,-,-,
9.5.22,2775,0.05345,6.21777712,-0.0039631, ,-,-,
8.16.22,2776,0.049,5.6,0.0007, ,-,-,
8.16.22,2777,0.046,3.7,-0.0039, ,-,-,
8.16.22,2778,0.045,1.6,-0.0049, ,-,-,
