,dpi,temp,treatment,status,mean_eye_score,median_eye_score,mean_bird_cv_eye_score,mean_bird_pv_eye_score,mean_bird_v2_eye_score,mean_cv_lower_ci_eye_score,mean_cv_upper_ci_eye_score,mean_pv_lower_ci_eye_score,mean_pv_upper_ci_eye_score,mean_v2_lower_ci_eye_score,mean_v2_upper_ci_eye_score
1,7,Cold,Infected,inoculated,0.142857143,0,2.124502939,0.373012086,0.818627425,0,3.689997423,0,0.576083783,0,0.931582207
2,7,Warm,Infected,inoculated,0.25,0,1.295704453,0.553952419,0.626705494,0.771093511,2.506859603,0.268830334,0.60351791,0.373240497,0.818627425
3,9,Cold,Infected,inoculated,0.642857143,0,1.912622802,0.473177187,0.785321392,1.097871516,3.72082079,0.142761968,0.643411781,0.550126118,0.932167889
4,9,Warm,Infected,inoculated,0.892857143,0.75,1.078848668,0.657918816,0.537874521,0.678787318,1.737798746,0.465604006,0.676348237,0.322221159,0.758039634
5,14,Cold,Infected,inoculated,0.821428571,0,1.481661403,0.603503203,0.68704235,0.895429183,2.561791832,0.360126991,0.678994433,0.453452778,0.859607558
6,14,Warm,Infected,inoculated,0.821428571,0.25,1.340626366,0.651450089,0.642509746,0.844075672,2.175156231,0.376877275,0.687968316,0.41604603,0.82553774
7,18,Cold,Infected,inoculated,0.642857143,0,1.70759993,0.617213433,0.744630702,1.108419209,2.593330324,0.270706327,0.693893642,0.54874472,0.891663779
8,18,Warm,Infected,inoculated,0.892857143,0,1.301320618,0.575711551,0.628726934,0.833944198,2.134394206,0.362516524,0.615078921,0.374004355,0.864894995
9,21,Cold,Infected,inoculated,0.25,0,2.175156231,0.463560416,0.825519657,1.192723337,3.63974454,0.142571999,0.62546867,0.58721846,0.929813432
10,21,Warm,Infected,inoculated,0.642857143,0,1.624057218,0.613066699,0.725090585,1.004881594,2.678295785,0.362501449,0.680361491,0.508391588,0.865331741
11,24,Cold,Infected,inoculated,0.321428571,0,2.072251543,0.528827095,0.811114993,1.033614585,3.117855761,0.263209844,0.643207436,0.516524962,0.906725332
12,24,Warm,Infected,inoculated,0.464285714,0,1.603031673,0.606203254,0.719865242,0.986322265,2.538404344,0.270706327,0.678431206,0.501461446,0.865329029
13,28,Cold,Infected,inoculated,0.214285714,0,2.177604921,0.378665503,0.825843537,0,3.707058177,0,0.592787321,0,0.932167889
14,28,Warm,Infected,inoculated,0.25,0,2.175156231,0.463560416,0.825519657,1.192723337,3.63974454,0.142571999,0.619993353,0.58721846,0.929813432
15,7,Cold,Infected,infected,0.166666667,0,1.942362666,0.423546695,0.790478186,0,3.423025311,0,0.605214963,0,0.921365734
16,7,Warm,Infected,infected,0.269230769,0,1.221595331,0.569495503,0.598763413,0.692376026,2.035650083,0.344114404,0.601578676,0.323735607,0.80559389
17,9,Cold,Infected,infected,0.75,0,1.738458615,0.531269,0.751382213,1.001005721,3.447553359,0.166600027,0.661965554,0.48841122,0.921937692
18,9,Warm,Infected,infected,0.961538462,1,1.005069367,0.665092797,0.502528259,0.610094907,1.680062961,0.480482429,0.67637123,0.273348545,0.722309497
19,14,Cold,Infected,infected,0.958333333,0.25,1.323360854,0.650423443,0.636533336,0.78796823,2.170852978,0.40827436,0.700086385,0.359858315,0.813811501
20,14,Warm,Infected,infected,0.884615385,0.5,1.265670285,0.670366862,0.615668617,0.781653548,2.084517295,0.409860988,0.691669074,0.370199484,0.812916694
21,18,Cold,Infected,infected,0.75,0.25,1.541912505,0.669410633,0.703922509,0.9282186,2.387185815,0.426051985,0.706281901,0.457480243,0.858770654
22,18,Warm,Infected,infected,0.961538462,0,1.226730715,0.594780974,0.600777406,0.769614764,2.044452163,0.384359145,0.615102709,0.375296726,0.855219933
23,21,Cold,Infected,infected,0.291666667,0,1.989464954,0.51813596,0.798304581,1.040304717,3.382911734,0.166333999,0.646995501,0.519746558,0.91964058
24,21,Warm,Infected,infected,0.692307692,0,1.545034557,0.63841398,0.704764956,0.997573116,2.574402089,0.383847689,0.688951921,0.479617167,0.857454181
25,24,Cold,Infected,infected,0.375,0,1.891258202,0.577879294,0.781509479,0.879718651,2.880473329,0.302425452,0.665921256,0.436271924,0.892439886
26,24,Warm,Infected,infected,0.5,0,1.524476279,0.630417298,0.699160169,0.924161069,2.522635676,0.396783216,0.680568831,0.464853075,0.853079153
27,28,Cold,Infected,infected,0.25,0,1.992031873,0.431301261,0.798719493,0,3.436608745,0,0.625365235,0,0.921937692
28,28,Warm,Infected,infected,0.269230769,0,2.084517295,0.48962161,0.812916694,1.119377494,3.51418253,0.153539076,0.633722752,0.556148536,0.925090709
29,7,Cold,Infected,diseased,0.333333333,0.25,1.221081627,0.665601863,0.598561298,0.364662155,2.43488046,0.266400266,0.665801265,0.130095149,0.855671591
30,7,Warm,Infected,diseased,0.4375,0.5,0.730752502,0.516983729,0.348109186,0,1.372809468,0.124875125,0.641894461,0.089597449,0.653332186
31,9,Cold,Infected,diseased,1.5,1.25,1.032107487,0.738509602,0.51579615,0.410452144,1.920194142,0.318229785,0.738509602,0.151097427,0.786650534
32,9,Warm,Infected,diseased,1.5625,1.5,0.466177798,0.425370271,0.178524487,0.231339355,0.642176065,0.214196466,0.485458253,0.052862998,0.28904068
33,14,Cold,Infected,diseased,1.916666667,1.75,0.604017047,0.463694307,0.267311556,0.14075898,0.879509992,0.1332667,0.577559363,0.019428159,0.457500492
34,14,Warm,Infected,diseased,1.4375,1.5,0.775832961,0.618639318,0.375747847,0.376064829,1.216864991,0.27932478,0.713730872,0.120433493,0.594490735
35,18,Cold,Infected,diseased,1.5,1,0.842712235,0.548342675,0.415260728,0.417084697,1.22352135,0.222074173,0.558502907,0.112914789,0.518236243
36,18,Warm,Infected,diseased,1.5625,1.5,0.73398826,0.58602644,0.350117107,0.318254246,1.377681906,0.246934061,0.642571571,0.078778402,0.654935323
37,21,Cold,Infected,diseased,0.583333333,0.5,1.259520945,0.682393334,0.613361157,0.488725009,1.917895425,0.249875062,0.732567848,0.192801164,0.786248186
38,21,Warm,Infected,diseased,1.125,0.5,1.054826767,0.708299809,0.526662959,0.571020516,1.68693464,0.420649791,0.725538655,0.240620073,0.735884055
39,24,Cold,Infected,diseased,0.75,0.5,1.172224824,0.546022443,0.57878971,0,1.54013819,0,0.745942475,0,0.703392344
40,24,Warm,Infected,diseased,0.8125,0.5,1.035659506,0.686171953,0.517512048,0.533975172,1.532709356,0.342720055,0.723048088,0.221466476,0.739972594
41,28,Cold,Infected,diseased,0.5,0.25,1.262386291,0.699190039,0.61443838,0.489310776,2.43973082,0.332667997,0.710282743,0.117370708,0.856162429
42,28,Warm,Infected,diseased,0.4375,0.25,1.546411268,0.650818731,0.705135462,0.824058061,2.783884965,0.249500998,0.695599591,0.27479936,0.885714488
