"","dpi","temp","treatment","mean_eye_score","median_eye_score","mean_bird_cv_eye_score","mean_bird_pv_eye_score","mean_bird_v2_eye_score","mean_cv_lower_ci_eye_score","mean_cv_upper_ci_eye_score","mean_pv_lower_ci_eye_score","mean_pv_upper_ci_eye_score","mean_v2_lower_ci_eye_score","mean_v2_upper_ci_eye_score"
"1","7","Cold","Infected",0.142857142857143,0,2.12450293868664,0.373012085850146,0.818627425419361,0,3.68999742285399,0,0.576083783295733,0,0.931582207205708
"2","7","Warm","Infected",0.25,0,1.29570445336253,0.553952419452189,0.626705493540831,0.771093510565336,2.50685960277019,0.26883033397477,0.603517909565155,0.373240496975694,0.818627425419361
"3","9","Cold","Infected",0.642857142857143,0,1.91262280164374,0.47317718700522,0.78532139233675,1.09787151594616,3.72082079034799,0.142761968211668,0.643411781452007,0.550126118035125,0.932167888704244
"4","9","Warm","Infected",0.892857142857143,0.75,1.07884866804573,0.657918816291111,0.537874521484512,0.67878731780615,1.73779874635209,0.465604006065015,0.676348237437249,0.32222115864088,0.758039633857818
"5","14","Cold","Infected",0.821428571428572,0,1.48166140347767,0.603503203080266,0.687042349759665,0.895429183389723,2.56179183225567,0.360126991128851,0.678994433489317,0.453452777749288,0.859607557964678
"6","14","Warm","Infected",0.821428571428572,0.25,1.34062636560558,0.65145008944316,0.642509745594044,0.844075672033107,2.17515623147079,0.376877275312251,0.687968316171442,0.416046029721475,0.825537739977259
"7","18","Cold","Infected",0.642857142857143,0,1.70759993012999,0.617213432589409,0.744630702274454,1.10841920913474,2.59333032375287,0.270706326948273,0.693893642192614,0.548744720086203,0.891663779442913
"8","18","Warm","Infected",0.892857142857143,0,1.30132061760425,0.575711551005882,0.628726934146184,0.833944197891668,2.13439420610985,0.362516523796097,0.615078921452798,0.374004354617391,0.864894995318058
"9","21","Cold","Infected",0.25,0,2.17515623147079,0.463560415620314,0.825519656634952,1.19272333679219,3.63974453966337,0.142571998859424,0.625468669889573,0.587218460381146,0.929813431606643
"10","21","Warm","Infected",0.642857142857143,0,1.62405721847618,0.613066699121679,0.725090584973383,1.00488159448387,2.6782957850059,0.362501449090351,0.680361491443005,0.508391588249728,0.8653317406649
"11","24","Cold","Infected",0.321428571428571,0,2.07225154340604,0.528827095206531,0.811114993339216,1.0336145849856,3.1178557611302,0.263209844048167,0.643207435939444,0.516524961732879,0.90672533249073
"12","24","Warm","Infected",0.464285714285714,0,1.60303167333064,0.606203254463085,0.719865241957997,0.986322265231447,2.53840434415859,0.270706326948273,0.678431205815332,0.501461445638214,0.865329029405408
"13","28","Cold","Infected",0.214285714285714,0,2.17760492141305,0.378665502532607,0.825843537087397,0,3.70705817712081,0,0.592787320704929,0,0.932167888704244
"14","28","Warm","Infected",0.25,0,2.17515623147079,0.463560415620314,0.825519656634952,1.19272333679219,3.63974453966337,0.142571998859424,0.619993352668931,0.587218460381146,0.929813431606643
