"","dpi","temp","treatment","mean_eye_score","median_eye_score","mean_bird_cv_eye_score","mean_bird_pv_eye_score","mean_bird_v2_eye_score","mean_cv_lower_ci_eye_score","mean_cv_upper_ci_eye_score","mean_pv_lower_ci_eye_score","mean_pv_upper_ci_eye_score","mean_v2_lower_ci_eye_score","mean_v2_upper_ci_eye_score"
"1","7","Cold","Infected",0.333333333333333,0.25,1.22108162651205,0.665601863206653,0.598561298063973,0.386718257234889,2.43488046002304,0.266400266400266,0.66580126460366,0.108758416813877,0.855671590961598
"2","7","Warm","Infected",0.4375,0.5,0.73075250223678,0.516983729130864,0.348109185929415,0.313711970357829,1.37280946818771,0.124875124875125,0.641894461398311,0.0895974494114881,0.584737697232025
"3","9","Cold","Infected",1.5,1.25,1.03210748733042,0.738509601750028,0.515796149624726,0.482039316286468,1.7748709659841,0.328144765803718,0.738509601750028,0.163646799388389,0.786650533633414
"4","9","Warm","Infected",1.5625,1.5,0.466177797797034,0.42537027121859,0.178524487132753,0.255542228220518,0.636847094332887,0.221154577363743,0.4854582531554,0.0545202639846599,0.291175964627429
"5","14","Cold","Infected",1.91666666666667,1.75,0.604017046893588,0.463694307106239,0.267311555702559,0.140758980418223,0.879509992260824,0.133266699983342,0.566475072885951,0.016328479188526,0.436155245709649
"6","14","Warm","Infected",1.4375,1.5,0.775832960524343,0.618639318127737,0.37574784730422,0.376216987768427,1.21661769982785,0.267767886894845,0.713730871792456,0.12390230583269,0.596897254645513
"7","18","Cold","Infected",1.5,1,0.842712234555198,0.548342674621491,0.415260727936484,0.181714430309288,1.22352135004155,0.222074172773706,0.564868902088099,0.148809492174853,0.599520144076681
"8","18","Warm","Infected",1.5625,1.5,0.733988259539478,0.586026439811629,0.350117107170006,0.292434566247538,1.37768190640665,0.214196467244552,0.642719810886837,0.0786848426554938,0.666222296394971
"9","21","Cold","Infected",0.583333333333333,0.5,1.25952094499827,0.682393334270988,0.613361157492399,0.488725008536149,1.91789542549049,0.249875062468766,0.732567847812621,0.192801164416206,0.786248185672747
"10","21","Warm","Infected",1.125,0.5,1.05482676657675,0.70829980851694,0.526662958959436,0.575567841145957,1.66929577071737,0.410188404514595,0.725538655318645,0.246915749285106,0.739972594374995
"11","24","Cold","Infected",0.75,0.5,1.17222482434481,0.546022442653012,0.57878970964174,0,1.39433250561847,0,0.745942474640217,0,0.7338927428962
"12","24","Warm","Infected",0.8125,0.5,1.03565950584647,0.68617195290504,0.517512047875762,0.540322301483548,1.52465811425101,0.350926792822672,0.71728614706657,0.224983989703793,0.705872142926775
"13","28","Cold","Infected",0.5,0.25,1.26238629148438,0.699190038831874,0.614438380278986,0.349564567822672,2.43973081950516,0.332667997338656,0.710216187722202,0.193174277067805,0.856162428852902
"14","28","Warm","Infected",0.4375,0.25,1.54641126779993,0.650818730925384,0.705135461862085,0.615571874848771,2.78388496530137,0.249500998003992,0.695759904478898,0.274799359827411,0.885714488163312
