temp,treatment,mean_value,median_value,cv,pv,v2,cv_lower_ci,cv_upper_ci,pv_lower_ci,pv_upper_ci,v2_lower_ci,v2_upper_ci,yhat,Upper,Lower,experiment,test,filter
Cold,Control,0.046,0.045,0.061487546,0.068254381,0.003766478,0.018252118,0.072562429,0.013333333,0.077959596,0.000334039,0.005242334,0.046522868,0.044146717,0.049169357,ti22,elisa_dpi28,Treatment_Control
Cold,Low,0.052132143,0.0495,0.169400858,0.161519607,0.027896125,0.106350802,0.211904205,0.099624928,0.196167487,0.009941181,0.042664997,0.05101607,0.048766426,0.053483309,ti22,elisa_dpi28,Treatment_Infected
Warm,Control,0.044888889,0.044,0.046522144,0.050566661,0.002159636,0.022199055,0.059113569,0.021068612,0.064203257,0.000426732,0.003549992,0.047240912,0.044943988,0.049785256,ti22,elisa_dpi28,Treatment_Control
Warm,Low,0.052604167,0.051,0.147102992,0.128356917,0.02118095,0.043139771,0.184368041,0.043758719,0.174855666,0.001813893,0.032465021,0.0518808,0.049505825,0.05449513,ti22,elisa_dpi28,Treatment_Infected
Cold,Low,0.333333333,0.25,1.221081627,0.665601863,0.598561298,0.386718257,2.43488046,0.266400266,0.665801265,0.108758417,0.855671591,,,,ti22,eye_score_dpi7,
Warm,Low,0.4375,0.5,0.730752502,0.516983729,0.348109186,0.31371197,1.372809468,0.124875125,0.641894461,0.089597449,0.584737697,,,,ti22,eye_score_dpi7,
Cold,Low,1.5,1.25,1.032107487,0.738509602,0.51579615,0.482039316,1.774870966,0.328144766,0.738509602,0.163646799,0.786650534,,,,ti22,eye_score_dpi9,
Warm,Low,1.5625,1.5,0.466177798,0.425370271,0.178524487,0.255542228,0.636847094,0.221154577,0.485458253,0.054520264,0.291175965,,,,ti22,eye_score_dpi9,
Cold,Low,1.916666667,1.75,0.604017047,0.463694307,0.267311556,0.14075898,0.879509992,0.1332667,0.566475073,0.016328479,0.436155246,,,,ti22,eye_score_dpi14,
Warm,Low,1.4375,1.5,0.775832961,0.618639318,0.375747847,0.376216988,1.2166177,0.267767887,0.713730872,0.123902306,0.596897255,,,,ti22,eye_score_dpi14,
Cold,Low,1.5,1,0.842712235,0.548342675,0.415260728,0.18171443,1.22352135,0.222074173,0.564868902,0.148809492,0.599520144,,,,ti22,eye_score_dpi18,
Warm,Low,1.5625,1.5,0.73398826,0.58602644,0.350117107,0.292434566,1.377681906,0.214196467,0.642719811,0.078684843,0.666222296,,,,ti22,eye_score_dpi18,
Cold,Low,0.583333333,0.5,1.259520945,0.682393334,0.613361157,0.488725009,1.917895425,0.249875062,0.732567848,0.192801164,0.786248186,,,,ti22,eye_score_dpi21,
Warm,Low,1.125,0.5,1.054826767,0.708299809,0.526662959,0.575567841,1.669295771,0.410188405,0.725538655,0.246915749,0.739972594,,,,ti22,eye_score_dpi21,
Cold,Low,0.75,0.5,1.172224824,0.546022443,0.57878971,0,1.394332506,0,0.745942475,0,0.733892743,,,,ti22,eye_score_dpi24,
Warm,Low,0.8125,0.5,1.035659506,0.686171953,0.517512048,0.540322301,1.524658114,0.350926793,0.717286147,0.22498399,0.705872143,,,,ti22,eye_score_dpi24,
Cold,Low,0.5,0.25,1.262386291,0.699190039,0.61443838,0.349564568,2.43973082,0.332667997,0.710216188,0.193174277,0.856162429,,,,ti22,eye_score_dpi28,
Warm,Low,0.4375,0.25,1.546411268,0.650818731,0.705135462,0.615571875,2.783884965,0.249500998,0.695759904,0.27479936,0.885714488,,,,ti22,eye_score_dpi28,
Cold,Low,0.965285714,0.001,1.369911884,0.594290154,0.652374456,0.830640757,2.534858035,0.360097918,0.658097585,0.409462445,0.839063985,0.965285729,1.606724078,0.323847379,ti22,max_eye_score,
Warm,Low,1.108142857,1.001,1.0496794,0.645191038,0.524223414,0.624460665,1.657600592,0.450219511,0.677142289,0.28057125,0.738453945,1.10814289,1.749581239,0.466704541,ti22,max_eye_score,
Cold,Low,2.582668034,1,1.539068349,0.350791176,0.703152348,0.186951264,1.86012104,0.093358407,0.53545077,0.033770471,0.775787281,,,,ti22,quantity1_dpi3,
Warm,Low,16.64862958,1.379045775,2.913217444,0.572381345,0.894590777,0.813328159,3.288522954,0.288204708,0.689471756,0.45066387,0.915536487,,,,ti22,quantity1_dpi3,
Cold,Low,45084.99427,749.4754761,1.514657596,0.833545572,0.696435021,0.973685539,2.773977507,0.668118289,0.838466906,0.469219631,0.877010309,,,,ti22,quantity1_dpi9,
Warm,Low,67008.45725,13168.24158,1.251635781,0.822688702,0.610378295,0.784643865,2.0050638,0.631748958,0.837789552,0.387807942,0.809484286,,,,ti22,quantity1_dpi9,
Cold,Low,25007.07023,1,1.778479453,0.597573487,0.759787989,0.9267491,2.680480771,0.364065202,0.674744858,0.47066317,0.875771718,,,,ti22,quantity1_dpi14,
Warm,Low,30803.01535,196.9244381,2.271592985,0.765830051,0.837665887,1.055617868,2.977364857,0.490063314,0.816486206,0.521874449,0.898563428,,,,ti22,quantity1_dpi14,
Cold,Low,7748.369815,1.777742455,3.318508417,0.705325339,0.916753369,1.502249827,3.713775903,0.389651831,0.812220153,0.690614604,0.93266925,,,,ti22,quantity1_dpi21,
Warm,Low,2673.832808,46.43174405,1.933038993,0.750438666,0.78887987,1.121204075,3.412903322,0.417915794,0.803709202,0.563225589,0.920610166,,,,ti22,quantity1_dpi21,
Cold,Low,1152.296343,1,3.727881951,0.573214748,0.932872858,0.902893568,3.733675609,0.239966962,0.694642651,0.454040535,0.933101722,,,,ti22,quantity1_dpi28,
Warm,Low,27.61658873,3.110234689,1.807397163,0.690723019,0.76562598,1.073564263,2.592583124,0.44412007,0.730890058,0.541531608,0.881740013,,,,ti22,quantity1_dpi28,
Cold,Low,56616.00464,749.4754761,1.270235419,0.755198175,0.617371051,1.038753775,1.553415036,0.712251654,0.770934893,0.519151595,0.710691359,56616.00464,100893.7323,12338.27703,ti22,max_quantity1,
Warm,Low,69339.94512,11937.11163,1.270458597,0.781243606,0.617454049,1.054271374,1.523455851,0.734401899,0.798464709,0.531925171,0.695934789,70171.35534,114449.083,25893.62773,ti22,max_quantity1,
Cold,Low,3.368630174,2.873512863,0.478447386,0.405151358,0.186272019,0.40915704,0.541150315,0.355032999,0.44454348,0.144407013,0.233024869,3.368630174,4.220957833,2.516302516,ti22,max_log10_quantity1,
Warm,Low,3.759530783,4.076899255,0.393162547,0.3570716,0.133881774,0.318754086,0.4756806,0.294522302,0.410026877,0.095940649,0.179105314,3.776007462,4.628335121,2.923679804,ti22,max_log10_quantity1,
Cold,Control,0.074039566,0.068250988,0.710012176,0.531524649,0.335158231,0.35476867,1.018509589,0.264290523,0.613653915,0.108335192,0.499790132,0.057814297,0.086648244,0.038174391,ti22,phagocytosis,Treatment_Control
