"","dpi","temp","treatment","mean_tes","median_tes","mean_bird_cv_tes","mean_bird_pv_tes","mean_bird_v2_tes","mean_cv_lower_ci_tes","mean_cv_upper_ci_tes","mean_pv_lower_ci_tes","mean_pv_upper_ci_tes","mean_v2_lower_ci_tes","mean_v2_upper_ci_tes"
"1",3,"ST","High",0.151,0.001,1.59948970708493,0.465735196274118,0.718972239454731,0,3.10027221585135,0,0.554446662231093,0,0.905764283902757
"2",3,"ST","Low",0.001,0.001,0,0,0,0,0,0,0,0,0
"3",3,"ST","Sham",0.001,0.001,0,0,0,0,0,0,0,0,0
"4",3,"TN","High",0.201,0.001,2.40321339074452,0.369887214984496,0.85240799169024,0,3.14133542400832,0,0.613817889426565,0,0.907986650578488
"5",3,"TN","Low",0.051,0.001,3.10027221585135,0.199600798403194,0.905764283902757,0,3.10027221585135,0,0.465735196274118,0,0.905764283902757
"6",3,"TN","Sham",0.001,0.001,0,0,0,0,0,0,0,0,0
"7",6,"ST","High",2.001,1.751,0.588961170403588,0.483404422488616,0.257540746706224,0.342812098108047,0.795733877013712,0.268423030861561,0.536295757377529,0.108033362638915,0.389769709460019
"8",6,"ST","Low",0.251,0.001,2.15164033811682,0.362661988244933,0.822366102351215,0,3.14133542400832,0,0.584758346250684,0,0.907986650578488
"9",6,"ST","Sham",0.001,0.001,0,0,0,0,0,0,0,0,0
"10",6,"TN","High",1.901,1.751,0.476993530027545,0.419921824769872,0.18535119881774,0.254851083037353,0.649921931662834,0.22470340265427,0.503485644256739,0.0661725669037034,0.29700762978607
"11",6,"TN","Low",0.251,0.001,2.52847712678085,0.37177020272299,0.864740509860547,0,3.14654493549093,0,0.621745015715695,0,0.908263151082763
"12",6,"TN","Sham",0.001,0.001,0,0,0,0,0,0,0,0,0
"13",8,"ST","High",2.151,1.751,0.537379230881751,0.43151349955808,0.224070233841187,0.340707224505904,0.655615371752944,0.278368923731677,0.442710959370296,0.106379300077583,0.299412748206437
"14",8,"ST","Low",0.701,0.501,1.17442596626043,0.69260368316816,0.57970413991435,0.656248450704339,1.91667442422616,0.466199175014057,0.699394445300878,0.301022897306684,0.786034050878202
"15",8,"ST","Sham",0.001,0.001,0,0,0,0,0,0,0,0,0
"16",8,"TN","High",2.101,2.001,0.292544644051813,0.244350196859195,0.0788354446663404,0.138382791857032,0.377993801433083,0.11883746695669,0.304660580306819,0.0187899729136709,0.125016974392106
"17",8,"TN","Low",0.551,0.001,1.56882062672595,0.606083291899446,0.711082707747968,0.850951820923718,3.13096798036473,0.1998001998002,0.695600463603198,0.41886816794603,0.90743278191668
"18",8,"TN","Sham",0.001,0.001,0,0,0,0,0,0,0,0,0
