date,dppi,band_number,bird_ID,l_min,l_max,r_min,r_max
20221107,0,2939,0_2939,33.2,35.7,33.2,34.9
20221110,3,2939,3_2939,31.4,33.6,32,34
20221114,7,2939,7_2939,32,33.7,32,32.9
20221121,14,2939,14_2939,32.8,34.2,33.1,35.5
20221125,18,2939,18_2939,31.9,33.1,32.8,33.6
20221201,24,2939,24_2939,32.6,33.2,32.5,33.7
20221205,28,2939,28_2939,32.2,33,31.2,31.8
20221212,35,2939,35_2939,32.9,33.8,32.2,33.6
20221107,0,2929,0_2929,36.3,38,36.5,37.9
20221110,3,2929,3_2929,35.5,37.4,35.9,37.6
20221114,7,2929,7_2929,34.8,37.1,35.1,37
20221121,14,2929,14_2929,35.4,36,34.5,35.1
20221125,18,2929,18_2929,36.7,37.7,36,36.7
20221201,24,2929,24_2929,35.6,35.9,35.3,35.9
20221205,28,2929,28_2929,35.2,36.5,35.8,36.2
20221212,35,2929,35_2929,35.3,36.7,34.8,35.8
20221107,0,2928,0_2928,33.8,34.6,32,32.8
20221110,3,2928,3_2928,31.2,32.5,32.2,33.6
20221114,7,2928,7_2928,32.5,33.5,33,34.5
20221121,14,2928,14_2928,31.9,32.5,32.4,33.3
20221125,18,2928,18_2928,32,32.6,32,32.5
20221201,24,2928,24_2928,31.6,32.3,32,32.9
20221205,28,2928,28_2928,31.6,32.3,31.4,32.8
20221212,35,2928,35_2928,30.5,31.4,31.5,32.8
20221107,0,2926,0_2926,37.2,38.2,39.4,41.1
20221110,3,2926,3_2926,35.8,37.3,37.2,40
20221114,7,2926,7_2926,36.6,37.8,36.3,38.1
20221121,14,2926,14_2926,36.4,37.2,39,40.5
20221125,18,2926,18_2926,35.4,36.6,35.4,36.7
20221201,24,2926,24_2926,35.6,36.4,36.3,37.4
20221205,28,2926,28_2926,36.2,37,35.7,36.4
20221212,35,2926,35_2926,36,36.7,34.9,36
20221107,0,2921,0_2921,31.3,32.8,30.1,31.1
20221110,3,2921,3_2921,30.1,31.3,30.3,32.3
20221114,7,2921,7_2921,32,33.2,30.9,33.3
20221121,14,2921,14_2921,30.6,31,30.6,32.1
20221125,18,2921,18_2921,32.4,33.3,32.1,33.1
20221201,24,2921,24_2921,31.6,32.7,31.5,31.9
20221205,28,2921,28_2921,31.6,32.4,30.3,31.9
20221212,35,2921,35_2921,31.4,32.1,31.8,33
20221107,0,2920,0_2920,36.1,37,36.1,37.7
20221110,3,2920,3_2920,35.3,36.9,35.5,37.4
20221114,7,2920,7_2920,34.2,35.9,34.8,36.3
20221121,14,2920,14_2920,34.6,35,34,35.6
20221125,18,2920,18_2920,35.6,36.5,35.9,36.6
20221201,24,2920,24_2920,35.4,36.1,34.3,34.9
20221205,28,2920,28_2920,35.8,36.4,35.4,36.1
20221212,35,2920,35_2920,35.7,36.6,35.2,36.5
20221107,0,2914,0_2914,36.5,38,36,37.6
20221110,3,2914,3_2914,36.3,37.3,35.8,37.5
20221114,7,2914,7_2914,35.4,36.3,35.5,36.8
20221121,14,2914,14_2914,35.5,36.5,35.6,37.1
20221125,18,2914,18_2914,35.9,36.5,35.8,36.4
20221201,24,2914,24_2914,35.8,36.5,35.5,36.3
20221205,28,2914,28_2914,36.7,37.2,36.1,36.9
20221212,35,2914,35_2914,36.3,36.8,35.3,36.7
20221107,0,2911,0_2911,36.2,37.2,36.6,37.6
20221110,3,2911,3_2911,36.7,37.9,36.5,37.7
20221114,7,2911,7_2911,35.8,36.1,36.1,36.8
20221121,14,2911,14_2911,36,37.1,36.3,37.9
20221125,18,2911,18_2911,37.8,38.3,36.9,37.3
20221201,24,2911,24_2911,34.7,35.3,35,35.6
20221205,28,2911,28_2911,35.5,36,35.6,36.4
20221212,35,2911,35_2911,36.3,36.5,35,35.9
20221107,0,2907,0_2907,34.8,36.5,34.6,36.5
20221110,3,2907,3_2907,34.7,36.2,34.8,35.9
20221114,7,2907,7_2907,34.1,35.4,33.7,35.3
20221121,14,2907,14_2907,34.4,35.2,34.1,35.2
20221125,18,2907,18_2907,35.5,36.6,35,36.4
20221201,24,2907,24_2907,33.5,34.2,33.9,34.5
20221205,28,2907,28_2907,34.2,35,33.9,35
20221212,35,2907,35_2907,34.3,35,34.5,35.8
20221107,0,2906,0_2906,36.7,37.9,35.6,37
20221110,3,2906,3_2906,36.2,37.5,36.2,37.2
20221114,7,2906,7_2906,34.8,36.3,34.2,36.4
20221121,14,2906,14_2906,34.1,35,34.6,36.4
20221125,18,2906,18_2906,36,36.8,36.5,37.8
20221201,24,2906,24_2906,33.9,34.6,33.7,34.8
20221205,28,2906,28_2906,35.2,36.5,35.5,36
20221212,35,2906,35_2906,34.8,35.3,34.6,35.1
20221107,0,2904,0_2904,37,37.6,35.9,37.4
20221110,3,2904,3_2904,33.8,35.3,34.2,35.1
20221114,7,2904,7_2904,35.1,36.5,40.8,41.7
20221121,14,2904,14_2904,38,38.5,38.6,39.3
20221125,18,2904,18_2904,37.8,38.8,42.4,42.5
20221201,24,2904,24_2904,35.9,36.2,36.4,36.6
20221205,28,2904,28_2904,37,37.7,37.1,37.7
20221212,35,2904,35_2904,36.6,37.2,35.6,36.6
20221107,0,2903,0_2903,31.7,33.2,30.6,32.5
20221110,3,2903,3_2903,31.4,32.7,30.7,31.6
20221114,7,2903,7_2903,32.3,33.6,37.5,38.4
20221121,14,2903,14_2903,33.6,35.7,38,39.8
20221125,18,2903,18_2903,32.1,32.9,39.8,40.1
20221201,24,2903,24_2903,30.5,31.4,31.5,32.3
20221205,28,2903,28_2903,32,32.4,32.3,33.1
20221212,35,2903,35_2903,31.4,32.5,31.3,32.3
20221107,0,2894,0_2894,32.7,34.7,32.5,34.1
20221110,3,2894,3_2894,31.3,32.8,29.6,31.5
20221114,7,2894,7_2894,36.4,37.7,35,36.3
20221121,14,2894,14_2894,38.7,39.5,38.5,39.5
20221125,18,2894,18_2894,37,37.9,36.6,37.3
20221201,24,2894,24_2894,31.7,32.8,31.7,32.7
20221205,28,2894,28_2894,31.7,32.4,32,32.3
20221212,35,2894,35_2894,31.9,33.2,31.5,32.6
20221107,0,2893,0_2893,32.4,34.4,32.3,34.1
20221110,3,2893,3_2893,30.1,31.5,30.8,31.8
20221114,7,2893,7_2893,31.8,32.9,30.6,32.6
20221121,14,2893,14_2893,31.2,31.8,32.1,33.1
20221125,18,2893,18_2893,30.8,31.9,32.3,33.1
20221201,24,2893,24_2893,31.2,33,30,31
20221205,28,2893,28_2893,32.2,33.1,31.5,33.7
20221212,35,2893,35_2893,32.4,33.3,30.9,31.4
20221107,0,2892,0_2892,32.7,32.8,29.4,30.6
20221110,3,2892,3_2892,30.2,32.4,30.6,32.8
20221114,7,2892,7_2892,31.7,33,30.5,32.4
20221121,14,2892,14_2892,30.7,32.1,31.7,33.1
20221125,18,2892,18_2892,31.2,32.2,30.9,31.7
20221201,24,2892,24_2892,30.9,32.1,30.3,31.7
20221205,28,2892,28_2892,31.3,31.7,31,31.7
20221212,35,2892,35_2892,31,31.3,30.6,32.1
20221107,0,2889,0_2889,35.6,36.9,35.5,36.8
20221110,3,2889,3_2889,33.7,34.6,34,35
20221114,7,2889,7_2889,36.5,39.8,36,37.2
20221121,14,2889,14_2889,42.3,42.6,35.2,36.4
20221125,18,2889,18_2889,42.2,43.4,35.6,36
20221201,24,2889,24_2889,40.6,40.9,33.8,34.2
20221205,28,2889,28_2889,39,39.6,35.7,36.7
20221212,35,2889,35_2889,36.2,36.9,34.9,35.3
20221107,0,2883,0_2883,36.4,37.2,35.7,36.5
20221110,3,2883,3_2883,34.8,36.3,34.2,36.5
20221114,7,2883,7_2883,34.4,35.5,41,42.2
20221121,14,2883,14_2883,41.2,42,41.6,42.7
20221125,18,2883,18_2883,40.1,40.7,42.1,42.4
20221201,24,2883,24_2883,35.9,36.3,40.4,40.9
20221205,28,2883,28_2883,36.1,37,40.2,40.5
20221212,35,2883,35_2883,35.2,35.5,36,36.4
20221107,0,2880,0_2880,32.2,33.4,31.4,33.3
20221110,3,2880,3_2880,30.7,31.6,31.7,32.9
20221114,7,2880,7_2880,32.5,33.9,38.9,39.9
20221121,14,2880,14_2880,33,33.7,40.4,40.9
20221125,18,2880,18_2880,30.6,32.6,38.5,38.8
20221201,24,2880,24_2880,32.4,33.2,33,34.5
20221205,28,2880,28_2880,32.1,33.1,32.2,32.9
20221212,35,2880,35_2880,32.6,33.5,32,33
20221107,0,2879,0_2879,35.8,36.7,35.7,37
20221110,3,2879,3_2879,35.4,37.2,35.7,36.9
20221114,7,2879,7_2879,34.1,36.1,37.6,38.6
20221121,14,2879,14_2879,35.7,37.1,37,37.2
20221125,18,2879,18_2879,34.1,34.9,34.4,35.2
20221201,24,2879,24_2879,35.3,36.6,36.4,37.4
20221205,28,2879,28_2879,36.2,37.8,35.6,36.3
20221212,35,2879,35_2879,34.4,36.1,35.5,36.2
20221107,0,2874,0_2874,35.2,36.3,33.9,35.7
20221110,3,2874,3_2874,35.7,37.2,36.2,37.7
20221114,7,2874,7_2874,34.5,36.2,36.4,37.4
20221121,14,2874,14_2874,35.7,36.3,35.3,36.9
20221125,18,2874,18_2874,36.2,36.7,36,37
