"date","dpi","band_number","bird_ID","swab_id","mass","l_eye_score","r_eye_score","treatment","temp","stack","cage","scorer","swab","swabber","plasma","rbcs","smear","experiment_notes","start_time","cap_time","bleed_time","hematocrit","samplers","sampled_first","room","cap_date","Location","sex","cap_mass","trap_method","bci_intake","Intake...Quarantine.Notes","Well.1.WBC","Well.1.Phago","Well.2.Phago","Well.2.WBC","Well.3.Phago","Well.3.WBC","Well.4.WBC","Well.4.Phago","l_min","l_max","r_min","r_max","qpcr_plate","well","cq_value","quantity","log10_quantity","extraction_plate","extr_neg_cntrls","cq8","cq7","cq6","cq5","cq4","cq3","cq2","cq1","qpcr_neg_cntrls","y_inter","r2","error","elisa_od","elisa_cv","hapto_int","hapto_abs","hapto.oor","red","hapto_plate","hapto_cv","hapto_ext","inf_temp","temp_names","groups"
20221010,-28,2573,"-28_2573",NA,20.7,NA,NA,"Control","Cold","C",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220530,"DD","M",19.2,"MN",3,"Intake 0,0, returned to Derring captive flock 7/22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047,1.5,NA,NA,NA,NA,NA,NA,NA,"Sham_ST","Cold","Cold Control"
20221010,-28,2603,"-28_2603",NA,21,NA,NA,"Infected","Cold","B",3,NA,NA,NA,NA,NA,NA,"low 3 BCI, molting, bleeding on wing",NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220610,"NEG","M",21.7,"FT",3,"Intake 0,0, returned to Derring captive flock 7/22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048,2.8,NA,NA,NA,NA,NA,NA,NA,"MG_ST","Cold","Cold Infected"
20221010,-28,2623,"-28_2623",NA,22.9,NA,NA,"Infected","Cold","F",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220617,"CSH","M",20.4,"FT",3,"Intake 0,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0437,0.65,NA,NA,NA,NA,NA,NA,NA,"MG_ST","Cold","Cold Infected"
20221010,-28,2653,"-28_2653",NA,21.8,NA,NA,"Infected","Cold","B",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220621,"KH","M",20.8,"FT",3,"Intake 0,0 Steger; moved back to Derring 8/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0486,0.29,NA,NA,NA,NA,NA,NA,NA,"MG_ST","Cold","Cold Infected"
20221010,-28,2655,"-28_2655",NA,20.9,NA,NA,"Infected","Cold","C",4,NA,NA,NA,NA,NA,NA,"No MG but eyes pinkish",NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220622,"BE","F",19.4,"FT",3,"Intake 0,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04515,0.16,NA,NA,NA,NA,NA,NA,NA,"MG_ST","Cold","Cold Infected"
20221010,-28,2667,"-28_2667",NA,20,NA,NA,"Control","Cold","C",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220622,"BE","M",20.4,"FT",3,"Intake 0,0; 17.8g on 6/27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.062,0.9,NA,NA,NA,NA,NA,NA,NA,"Sham_ST","Cold","Cold Control"
20221010,-28,2684,"-28_2684",NA,20.2,NA,NA,"Control","Cold","E",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220627,"IVT","F",20.6,"FT",3,"Intake 0,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04495,6.45,NA,NA,NA,NA,NA,NA,NA,"Sham_ST","Cold","Cold Control"
20221010,-28,2687,"-28_2687",NA,19.4,NA,NA,"Infected","Cold","D",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220627,"IVT","F",20.5,"FT",3,"Intake 0,0, healed head injury 7/8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,8.7,NA,NA,NA,NA,NA,NA,NA,"MG_ST","Cold","Cold Infected"
20221010,-28,2689,"-28_2689",NA,19.6,NA,NA,"Infected","Cold","D",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220627,"LN","F",19.6,"FT",3,"Intake 0,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0446,5.39,NA,NA,NA,NA,NA,NA,NA,"MG_ST","Cold","Cold Infected"
20221010,-28,2741,"-28_2741",NA,20.3,NA,NA,"Infected","Cold","A",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APU, ML, MA",NA,"ST",20220704,"SC","M",19.9,"FT",3,"Intake 0,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042,3.4,NA,NA,NA,NA,NA,NA,NA,"MG_ST","Cold","Cold Infected"
